Sample_ID,Moisture,Ash,Volatile_Oil,Acid_Insoluble_Ash,Chromium,Coumarin,Fiber,Density,Oil_Content,Resin,Pesticide_Level,PH_Value,Quality_Label
SMP_01890,4.6861,1.3469,3.4253,0.8028,0.1772,,14.0433,0.8430,8.5517,1.1984,0.0675,6.8357,Medium
SMP_08992,7.3984,1.1754,2.5090,0.8103,0.0519,0.2728,12.6195,1.0588,14.2360,0.9332,0.0180,7.3857,Medium
SMP_00170,5.0262,1.6542,1.4953,0.6088,0.2588,0.4889,16.0853,0.7447,6.1410,0.8782,,5.2529,Low
SMP_01796,6.9049,1.4888,3.1502,0.2084,0.4595,0.4386,17.0828,1.0726,10.4382,2.1880,0.0561,5.5663,Medium
SMP_03976,7.5000,1.8120,2.6866,0.3328,0.4867,0.3195,19.0752,0.6511,14.8338,2.5402,0.0950,5.1371,High
SMP_06821,6.3518,1.9468,2.9784,0.1145,0.1060,0.1992,13.0393,1.0839,12.6991,0.8637,0.0534,4.8274,Medium
SMP_07827,6.7514,1.8442,1.5260,0.9511,0.4036,0.1559,13.3584,0.6760,6.5903,2.1119,0.0066,6.2964,Low
SMP_11810,7.8330,1.3321,2.6434,0.8074,0.4439,0.4062,14.1474,0.5059,10.8919,,0.0423,6.4006,Medium
SMP_01040,6.2054,1.6055,2.7638,0.7122,0.1816,,16.8152,0.7447,7.1263,1.4359,0.0273,4.7650,High
SMP_02849,6.7737,1.2282,1.1901,0.6070,0.0744,0.3352,17.5350,0.7306,9.8835,2.8220,,7.4897,High
SMP_03372,4.4732,1.0393,2.7126,,0.3941,0.1275,13.8376,0.6648,12.3961,1.0680,0.0458,6.9567,Medium
SMP_08830,6.3762,1.9617,2.1683,0.1403,0.2182,0.1717,16.9155,0.7072,9.6947,2.8360,0.0993,6.1050,Medium
SMP_10350,7.4757,1.5295,3.3111,0.7937,0.1159,0.2365,13.1170,0.9921,10.3853,1.1763,0.0762,6.4618,Medium
SMP_08798,4.4028,1.4932,2.5887,0.6296,0.1762,0.4443,11.0971,0.5011,6.3448,2.3099,0.0789,6.7993,Low
SMP_00765,5.0839,1.2857,1.6773,0.8699,0.0644,0.1305,12.7392,0.6400,7.3186,2.4949,0.0564,4.5174,Low
SMP_01594,5.1040,1.1801,2.3916,0.8585,0.1188,0.1131,,1.1859,13.2876,1.9897,0.0930,5.8359,Low
SMP_14233,5.3068,1.0553,2.9587,0.6013,0.1362,0.3210,16.9234,0.9612,11.4171,0.8930,0.0034,4.9542,High
SMP_05873,4.8146,1.5060,2.1631,0.6706,0.0827,0.4278,10.5828,0.8177,12.1048,1.3621,0.0911,6.7657,Low
SMP_09941,7.2277,1.5419,2.2313,0.8046,0.2372,0.1315,16.3060,,10.9944,1.7769,0.0306,5.5358,Medium
SMP_05170,,1.8669,2.6239,0.5221,0.4811,0.3987,12.4931,0.7709,12.5988,0.5483,0.0064,7.0783,Medium
SMP_10910,7.3863,1.0282,2.9080,0.2877,0.4458,0.2134,15.5062,0.6777,9.1195,1.0956,0.0374,7.0946,High
SMP_04123,4.6837,1.3084,2.2810,0.8114,0.4870,0.2436,10.2042,0.9317,12.1079,1.4937,0.0184,5.4181,Low
SMP_12949,7.8875,1.0333,2.7551,0.1757,0.0946,0.4120,15.1326,0.7305,11.9079,2.6197,0.0436,5.4363,Medium
SMP_14483,7.6610,1.1014,2.1116,0.2978,0.3483,0.4937,17.7719,1.0271,9.6817,1.9394,0.0535,5.6035,Medium
SMP_00150,4.2667,,1.3755,0.7637,0.2805,0.3721,10.4168,0.5594,12.1633,0.6803,0.0072,4.5364,Low
SMP_11737,7.0821,1.9982,3.4111,0.2176,0.4931,0.3898,16.3626,0.7776,14.9217,1.2889,0.0949,5.5679,Medium
SMP_00388,6.8202,1.7420,2.6944,0.3271,0.4429,0.1676,10.5364,1.0023,9.7548,,0.0384,5.0049,Low
SMP_03947,6.3685,1.1506,1.3965,0.4030,0.4772,0.4850,18.4179,0.9870,12.2068,1.6740,0.0531,6.4034,High
SMP_13403,4.7603,,2.5815,0.9542,0.4649,0.3200,13.4695,0.6542,8.8360,0.6113,0.0586,7.2216,Medium
SMP_01374,4.3289,1.3284,2.0610,0.5884,,0.4160,10.3932,0.8023,8.8226,2.1190,0.0967,6.0312,Low
SMP_02885,7.7050,1.5933,2.6786,0.3791,0.3593,0.2752,18.5694,0.7748,9.6828,1.5815,0.0812,7.3611,High
SMP_14043,6.4543,1.9406,2.1596,0.7787,0.0794,0.2286,19.1631,0.8617,14.5145,0.5163,0.0472,6.6801,High
SMP_11361,5.8562,1.7435,1.7902,,0.4359,0.3466,19.7120,1.0141,9.3859,2.0625,0.0121,7.2376,High
SMP_02992,7.9249,1.0408,2.2803,0.1884,0.1171,0.3442,12.3157,1.0245,,1.0456,0.0494,4.5027,Medium
SMP_11596,4.1085,1.2810,2.7587,0.5075,0.4655,0.2621,14.5924,1.0436,5.8580,2.8112,0.0495,6.7138,Medium
SMP_10582,6.1111,,2.3397,0.2602,0.2080,0.3141,19.5175,0.8283,5.1019,0.7754,0.0399,5.0070,High
SMP_14868,5.6140,1.9288,1.5323,0.2836,0.4833,0.2343,13.2805,0.9299,11.3248,2.7487,0.0036,6.7530,Medium
SMP_14425,4.1981,1.0955,2.8494,0.2749,0.2079,0.1537,14.7514,0.6037,14.5138,2.9495,0.0139,6.3884,Medium
SMP_03025,5.4083,1.8124,1.4373,0.8945,0.1047,0.1677,14.7775,1.1618,8.2955,2.1456,0.0589,4.9489,Low
SMP_00252,5.2272,1.3530,2.5533,0.4007,0.3798,0.2619,10.6836,1.0487,7.8576,1.5820,0.0686,5.4974,Low
SMP_12147,6.4516,1.2207,1.7466,0.9579,0.0902,0.4084,18.7475,0.9191,5.1693,2.3962,0.0400,6.8020,High
SMP_11439,5.7688,1.5536,1.8262,0.1582,0.3728,0.4080,,0.8013,12.2720,2.9860,0.0933,6.1883,Medium
SMP_07093,6.1273,1.7634,1.3502,0.4100,0.1375,0.3586,11.3684,1.0468,7.0783,0.6466,0.0911,5.4997,Low
SMP_00933,6.6853,1.9902,1.2267,0.7006,0.1776,0.3561,16.0763,0.6075,7.0675,2.0541,0.0129,5.2956,Medium
SMP_07218,4.0902,1.6417,2.5075,0.7609,0.3282,0.2768,14.7863,0.6541,5.8373,2.6522,0.0692,4.8688,Low
SMP_03685,6.3475,1.9800,3.4368,0.3241,0.0961,0.3362,14.1999,1.0332,10.2799,1.7765,0.0647,4.8793,Medium
SMP_08369,5.2163,1.6191,1.3609,0.4269,0.1377,0.1806,16.6110,0.7006,7.5104,2.5201,0.0474,5.6400,Low
SMP_09479,4.4215,1.8391,2.9415,0.8571,0.3224,0.1621,17.7091,0.8959,10.6833,2.0220,,5.3745,Medium
SMP_11725,7.7683,1.2836,3.4302,0.8488,0.3826,0.3874,18.9035,0.6581,14.0369,1.6223,0.0754,6.8690,High
SMP_07418,5.3387,1.0051,3.3748,0.3025,0.4594,0.4412,13.4908,0.6477,9.2661,2.8340,0.0856,5.9659,Low
SMP_10505,5.2882,1.7893,2.4221,0.6075,0.3752,0.4952,13.7142,0.8734,7.9616,1.4699,0.0063,5.6961,Low
SMP_10516,4.8660,1.0664,1.9624,0.8348,0.2683,0.2897,14.7596,0.6480,13.1146,2.3831,0.0300,5.0513,Low
SMP_13510,7.8800,1.7459,1.9877,0.8804,0.2501,0.3881,15.9781,0.8236,7.6251,0.5479,0.0032,,High
SMP_07173,5.8212,1.5962,1.9962,,0.2594,0.3630,12.6223,0.6199,5.1359,2.0050,0.0981,5.7612,Low
SMP_03329,7.0950,1.1512,1.3307,0.9017,0.4541,0.2864,18.7016,0.9673,6.8501,1.3224,0.0137,6.8219,High
SMP_05024,5.1987,1.5680,3.1601,0.4338,0.1944,0.4128,,0.7115,9.5218,2.0017,,5.7986,Low
SMP_02215,6.0040,1.7005,1.0779,0.9018,0.3965,0.1998,19.8118,0.6256,14.1409,1.3112,0.0764,5.8692,High
SMP_02217,6.9477,1.7289,1.0213,0.2986,0.2714,0.2681,19.1858,0.7519,14.3699,1.6486,0.0965,6.7121,High
SMP_14796,5.7810,,2.2531,0.6277,0.1154,0.2064,11.3468,,14.7917,2.1958,0.0516,6.5910,Low
SMP_02860,4.3151,1.4238,1.2147,0.6382,0.0623,0.3517,16.7321,0.8411,6.7501,0.7535,0.0314,5.8957,Low
SMP_04025,5.4369,1.2206,2.2295,0.3625,0.1549,0.3466,10.7485,0.8563,8.8744,1.8314,0.0321,6.2110,Low
SMP_02761,7.6769,1.9319,1.2698,0.6025,,0.3289,18.1499,0.8765,13.7206,2.5042,0.0277,6.3904,High
SMP_03291,7.1096,1.4692,1.1397,0.1406,0.1211,0.4904,13.9867,1.0904,12.0515,2.0136,0.0948,5.1913,Low
SMP_10044,6.2122,,1.9255,0.8234,0.4896,0.2940,12.8351,1.0421,13.5457,2.0902,0.0483,7.1805,Medium
SMP_02627,5.6052,1.6396,2.1833,0.1192,0.4165,0.1453,14.6409,0.9060,12.0551,1.5270,0.0736,4.8941,Medium
SMP_04610,6.2533,1.9618,3.2309,0.5554,0.3243,0.2653,11.3246,1.1075,10.4954,1.5635,0.0069,6.4962,Medium
SMP_13284,5.7024,1.1521,1.5871,0.9692,0.4992,0.4941,19.0968,1.1868,6.8313,0.5765,0.0339,6.2091,High
SMP_12473,5.9508,1.4968,3.1776,0.8724,0.1250,0.1279,14.4474,0.9081,14.3576,2.7047,0.0813,7.3474,High
SMP_11740,5.2108,1.9720,2.2545,0.6238,0.0595,0.4310,17.5514,0.8594,12.7730,0.9093,0.0448,5.2198,Medium
SMP_06662,7.1372,1.9465,1.3068,0.2725,0.3055,0.4754,14.5255,0.9438,7.9373,2.5294,0.0606,5.6455,Low
SMP_13940,4.0467,1.6286,1.5871,0.9949,0.1388,0.2806,13.0755,0.6857,14.5618,2.6975,0.0008,5.5843,Low
SMP_07360,7.8767,1.4729,,0.6392,0.0951,0.4160,19.5336,1.1416,9.2779,2.2815,0.0156,4.7271,High
SMP_03205,4.6516,1.2041,2.3946,0.4146,0.3398,0.2689,18.1160,0.8021,10.7235,1.3027,,6.4643,High
SMP_11753,4.7486,1.3128,2.4490,0.8423,0.4956,0.4287,14.9262,0.9032,7.8321,1.0575,0.0143,6.0541,Medium
SMP_06127,4.4436,1.9378,1.3276,0.3366,0.2009,0.3499,17.6747,0.9233,12.4896,1.5054,0.0996,5.0103,Medium
SMP_14630,6.5974,1.9183,2.6734,0.6921,0.4631,0.2521,18.9430,0.9915,5.8152,2.2695,0.0095,6.6365,High
SMP_02679,6.2414,1.0271,3.4160,0.4072,0.3629,0.4242,12.7911,1.0242,13.3243,1.1033,0.0993,4.5621,Medium
SMP_03709,4.5055,1.6294,2.5644,0.2788,0.4993,0.2390,19.0510,1.1638,14.4899,2.3821,0.0254,4.8620,High
SMP_09988,6.9684,1.5447,1.7379,0.2722,0.1583,0.2617,14.8438,0.7217,8.7673,2.7798,0.0191,4.6322,Medium
SMP_02806,5.3735,1.6031,2.8754,0.9158,0.2471,0.2442,14.3003,0.7266,11.5393,2.8318,0.0127,6.1828,Medium
SMP_01454,5.6247,1.6062,2.0972,0.9407,0.2907,0.3775,18.9649,0.6029,7.2974,0.7683,0.0140,6.0378,High
SMP_14422,5.7298,1.1942,1.5208,0.2906,0.0538,0.1015,18.0141,0.8225,5.2961,2.5756,0.0460,5.6589,Medium
SMP_10000,4.0520,1.9330,2.0902,0.8738,0.2443,0.1469,11.0588,0.5011,7.8976,1.5807,0.0024,5.8616,Low
SMP_02320,4.2983,1.1766,1.2322,0.3191,0.2568,0.4628,18.7202,1.0031,5.2412,1.3535,0.0683,4.8871,Medium
SMP_13883,6.4525,1.5053,1.8189,0.5545,0.0550,0.4496,16.5629,1.0053,9.7993,2.9206,0.0711,7.4615,High
SMP_12609,6.7698,1.2201,2.5286,0.3430,0.3591,0.1941,14.6172,0.6957,14.9427,2.1516,0.0113,7.3479,High
SMP_07334,5.9653,1.6242,1.9122,0.8901,0.1580,0.2126,17.7366,0.5406,14.8739,2.0726,0.0808,6.2519,High
SMP_03652,5.3710,1.8606,2.9873,0.9936,0.2881,0.3302,19.4665,0.7798,10.5569,1.4478,0.0546,4.7423,High
SMP_02289,6.0169,1.5128,1.9053,0.8782,0.1933,0.1377,13.0273,1.0008,11.5759,0.9701,0.0112,6.4826,Medium
SMP_03624,7.7675,1.1557,1.9712,0.3314,0.2972,0.3946,18.1699,0.8608,13.5492,2.4627,0.0158,5.2363,High
SMP_13619,4.6351,1.5682,1.2735,0.7073,0.2995,0.3062,13.2847,0.9327,6.0163,2.2542,0.0896,6.5405,Low
SMP_04879,5.0573,1.0451,2.0763,0.1903,0.1019,0.2854,16.1269,1.1338,12.0526,2.6066,0.0412,5.4558,Medium
SMP_01714,5.6156,1.6836,1.2536,0.2197,0.1129,0.1183,15.4133,1.0558,11.1042,1.9374,0.0681,5.5190,Low
SMP_14506,6.2168,1.3736,1.8612,0.1472,0.3414,0.4500,16.6462,0.7543,14.5657,1.8588,0.0485,4.9174,Medium
SMP_03590,7.0197,1.5035,1.5138,0.7754,0.3877,0.3093,12.7585,0.9104,14.3354,0.6291,0.0267,5.3550,Low
SMP_09467,5.8035,1.6746,1.1768,0.2830,0.3875,0.1153,16.0187,0.6871,14.0249,2.5828,0.0920,4.7816,Medium
SMP_05156,6.8459,1.2866,1.0094,0.6014,0.3614,0.2566,12.9700,0.8435,6.0124,2.1099,0.0734,6.6139,Low
SMP_12595,7.4502,1.9080,1.1908,0.4831,0.2358,0.2915,11.9225,1.1553,6.5027,0.7968,0.0254,4.7387,Low
SMP_13674,5.6806,1.1117,1.9157,0.1529,0.2675,0.1220,17.7040,0.7493,11.0975,1.2623,0.0883,5.9746,Medium
SMP_03670,6.7999,1.9869,3.0633,0.5984,0.0884,0.2458,10.8643,0.7179,7.5880,1.4714,0.0838,4.9512,Low
SMP_14325,6.3063,1.2093,1.7249,0.1871,0.3463,0.1699,14.3158,0.9581,9.4575,1.6347,0.0909,6.9172,Medium
SMP_13525,4.3686,1.1352,3.0672,0.6024,0.2767,0.4524,13.3191,0.7326,10.3281,2.6082,0.0207,5.3795,Low
SMP_08385,5.0552,1.5343,2.5602,0.4294,0.0973,0.2052,12.5703,0.8746,6.0332,1.2206,0.0344,6.0817,Low
SMP_14211,4.8321,1.6548,1.9755,0.8230,0.4981,0.4156,17.6961,0.8233,8.9022,0.7450,0.0609,5.4558,Medium
SMP_04388,4.0031,1.6394,2.1335,0.8599,0.1659,0.2123,10.7755,0.8770,8.6591,1.3493,0.0458,7.0491,Low
SMP_09124,6.3893,1.2664,1.4748,0.4481,0.0580,0.4894,19.6707,0.5941,6.8934,1.9136,0.0309,4.5366,High
SMP_07895,4.9126,1.3584,3.1335,0.4385,0.1578,0.4131,19.4316,1.0424,6.2577,1.3009,0.0603,5.0881,High
SMP_01490,6.0568,1.4063,1.1121,0.9618,0.4788,0.2118,17.3153,0.9051,7.3748,1.1555,0.0492,5.7578,Medium
SMP_01607,4.1754,1.2344,1.9914,0.5049,0.4647,0.3241,10.4512,0.7856,9.1650,2.9138,0.0600,6.4070,Low
SMP_08595,4.9189,1.0349,3.1798,0.4910,0.3999,0.4418,15.7351,0.5679,8.2023,1.1324,0.0605,5.7326,Medium
SMP_08529,4.1344,1.7233,1.8427,0.5891,0.3109,0.1650,13.9881,0.7986,11.1490,2.7242,0.0616,6.5511,Medium
SMP_01403,6.0440,1.0792,2.4684,0.1283,0.0981,0.3200,15.9141,0.5203,10.7338,2.5963,0.0723,4.8936,Medium
SMP_09388,7.7996,1.2647,3.3459,0.5083,0.1183,0.3950,16.9470,1.1453,8.0399,2.0731,0.0961,7.1171,High
SMP_03520,7.9846,1.3643,1.3921,0.5474,0.1896,0.3264,14.6672,0.9827,14.1430,1.0013,0.0822,7.3478,High
SMP_03298,4.9609,1.8956,1.9579,0.3546,0.4693,0.1790,17.4551,0.9570,14.2049,2.5802,0.0706,5.4438,Medium
SMP_01007,4.5964,1.9579,2.0108,0.8878,0.1353,0.3192,10.2397,1.0350,10.8092,2.0640,0.0052,5.1332,Low
SMP_02792,4.5560,1.2877,1.3233,0.5415,0.4695,0.1403,14.4090,0.5157,12.7090,2.1031,0.0700,5.9171,Low
SMP_02705,5.4005,1.8048,2.6172,0.8074,0.3124,0.2031,12.2800,0.5064,12.8099,2.6179,0.0769,4.7233,Low
SMP_05614,7.6362,1.4994,1.0973,0.1467,0.1709,0.3456,13.3523,0.6164,13.5050,2.9625,0.0017,4.7683,Medium
SMP_14031,4.8149,1.1851,2.8436,0.3080,0.1545,0.3704,10.5780,0.6555,9.3829,1.2146,0.0643,4.7609,Low
SMP_05684,7.5327,1.2758,1.6321,0.3321,0.0931,0.2995,13.2754,0.8654,9.5312,1.7995,0.0298,6.9455,Medium
SMP_12288,7.9474,1.4795,1.3308,0.9743,0.4536,0.3632,10.2787,0.7502,6.5425,0.9742,0.0687,5.6733,Low
SMP_05401,7.7998,1.2728,3.1915,0.9775,0.4203,0.1079,18.6863,0.6494,8.5328,2.9790,0.0405,6.4646,High
SMP_02358,4.3663,1.9577,2.6640,0.1923,0.4203,0.2291,15.9680,0.6940,12.3341,2.3076,0.0553,5.2228,Medium
SMP_14681,6.9397,1.1993,1.5361,0.4006,0.0509,0.2458,16.2577,1.1960,9.4226,0.8486,0.0908,6.5008,Medium
SMP_00291,4.6148,1.5727,1.6926,0.9292,0.3125,0.3372,13.5493,0.5364,5.3175,1.5584,0.0085,6.3206,Low
SMP_12535,7.9148,1.1893,2.5212,0.5247,0.4253,0.1238,14.3761,0.7100,7.4415,2.3507,0.0204,5.5894,Medium
SMP_05909,5.5954,1.5223,1.7089,0.5352,0.2169,0.1325,18.6713,0.6970,11.0938,1.9246,0.0200,4.5899,High
SMP_13819,7.3888,1.4691,2.2529,0.1288,0.2409,0.4247,16.1295,0.5245,7.6195,2.1756,0.0692,6.5965,High
SMP_06595,6.6233,1.1796,1.2075,0.3843,0.4165,0.1087,11.5004,0.5743,5.3718,2.5258,0.0280,6.6868,Low
SMP_00089,7.0688,1.4020,2.1997,0.6648,0.4432,0.4937,17.6828,0.7925,9.2136,2.3440,0.0239,4.8315,High
SMP_12999,7.4751,1.6281,1.2760,0.1725,0.1826,0.2295,11.3744,0.6195,11.7230,1.7103,0.0587,6.6593,Low
SMP_02233,6.2541,1.1217,1.7881,0.6955,0.1209,0.2236,17.0301,0.9556,5.9104,1.9432,0.0148,5.2569,Medium
SMP_08274,7.5109,1.8455,1.9436,0.7223,0.4671,0.1366,13.5453,1.1819,10.4819,0.7295,0.0962,7.2083,Medium
SMP_09323,5.3396,1.2797,2.9848,0.8852,0.3759,0.2792,12.1241,1.1964,8.3810,1.5817,0.0523,6.1938,Low
SMP_07965,7.6798,1.1225,1.1925,0.6804,0.4068,0.2096,13.0135,0.7498,12.6581,1.1550,0.0089,5.4276,Low
SMP_09038,4.5852,1.4317,1.5241,0.4604,0.3045,0.1451,11.9646,1.1001,11.3347,2.3621,0.0489,6.5667,Low
SMP_11409,4.2266,1.4203,2.2263,0.3472,0.0815,0.2709,19.7099,0.7254,8.1409,0.8707,0.0556,6.1081,High
SMP_08392,5.3511,1.4140,1.0131,0.4202,0.1893,0.3674,18.8011,0.5737,9.8282,1.1918,0.0988,6.8411,High
SMP_11750,5.4358,1.3626,3.0384,0.5786,0.4737,0.3558,14.0831,0.8728,14.3942,2.5861,0.0925,6.6232,Medium
SMP_01057,6.3315,1.0517,1.8424,0.7779,0.1825,0.4054,17.4547,0.6721,12.2883,2.3695,0.0398,5.1313,Medium
SMP_00904,6.2999,1.8900,2.6272,0.5278,0.4346,0.2886,18.6863,0.7042,6.2882,2.6383,0.0588,7.1673,High
SMP_14221,7.7579,1.6192,2.2520,0.3201,0.1661,0.2312,10.7518,0.9786,7.8585,2.8227,0.0343,6.9636,Medium
SMP_13627,6.9955,1.2840,1.2006,0.4932,0.0710,0.1201,18.3218,0.8785,5.9744,2.8634,0.0616,6.9739,High
SMP_02040,6.5724,1.6873,1.9268,0.8883,0.4294,0.1701,19.0427,0.8087,12.2375,2.5353,0.0506,5.6974,High
SMP_01612,6.3643,1.9022,2.7209,0.9740,0.2795,0.3555,15.7631,0.8390,13.4596,2.1114,0.0802,6.8591,High
SMP_14520,6.5992,1.6511,1.8729,0.1225,0.3554,0.2378,12.5087,0.9246,13.8200,1.7019,0.0865,7.2566,Medium
SMP_00737,6.8817,1.5116,3.3590,0.1377,0.2764,0.3337,19.2020,0.5345,10.7350,2.6341,0.0242,7.1289,High
SMP_05964,4.8290,1.4996,3.0336,0.2965,0.3783,0.1134,19.4264,0.9644,6.6258,2.6858,0.0082,5.7178,High
SMP_11876,7.2618,1.4355,2.2135,0.1055,0.4399,0.4937,14.5104,0.7125,6.7589,2.3119,0.0412,5.5152,Low
SMP_07309,4.4941,1.5009,1.5261,0.2748,0.0932,0.2430,18.6742,0.9235,12.7911,0.7865,0.0314,5.6659,Medium
SMP_09053,6.2109,1.2635,1.9032,0.4917,0.3032,0.3570,11.2422,0.6017,8.6648,1.5398,0.0332,6.4398,Low
SMP_06178,5.4158,1.2152,3.2497,0.6899,0.1796,0.3263,18.5321,1.1542,5.7504,2.4673,0.0967,5.9018,Medium
SMP_13556,4.0859,1.0398,1.9668,0.4913,0.3107,0.2381,14.1195,1.1312,8.4505,1.2874,0.0720,7.4347,Medium
SMP_02865,7.4050,1.8775,1.6658,0.6596,0.1664,0.1901,10.2121,0.9041,6.4995,0.5310,0.0105,5.4414,Low
SMP_10057,5.5214,1.5763,2.6832,0.4582,0.4130,0.3352,12.7175,0.7602,14.6372,2.0065,0.0501,5.2413,Low
SMP_01419,5.2777,1.0933,2.7689,0.7607,0.1785,0.2191,14.6890,0.5153,12.8933,1.2928,0.0854,6.9079,Medium
SMP_05915,7.4668,1.2815,3.1996,0.7707,0.2675,0.2392,13.9938,0.8741,9.1253,1.5506,0.0204,6.6235,High
SMP_04149,6.2053,1.4952,3.1335,0.7152,0.2357,0.3755,19.6505,0.5563,8.8809,2.6762,0.0740,7.3048,High
SMP_13110,7.6839,1.6245,2.4205,0.3137,0.2838,0.1849,15.2542,1.0374,11.1976,1.2407,0.0701,5.5549,Medium
SMP_13686,4.6130,1.8305,2.1843,0.6406,0.2822,0.1269,19.4729,1.1113,10.8657,1.7257,0.0333,5.0244,High
SMP_01011,5.3960,1.4539,2.4875,0.9766,0.1974,0.4693,12.6936,1.1924,11.7027,1.6588,0.0614,5.3176,Low
SMP_08635,6.9431,1.8163,3.2334,0.2323,0.4438,0.3583,19.1800,1.1502,9.2664,2.2855,0.0826,5.2725,High
SMP_07589,6.2443,1.3533,2.7992,0.5468,0.0543,0.4363,10.6635,1.1926,8.4974,1.8121,0.1000,5.3077,Low
SMP_04190,7.0070,1.9546,1.3989,0.9113,0.2670,0.1944,19.6275,0.6670,12.3345,2.4623,0.0431,6.5700,High
SMP_14954,7.0688,1.3682,1.1195,0.1463,0.3767,0.2751,14.0197,0.9908,7.0722,1.7254,0.0314,5.7761,Low
SMP_10529,7.8819,1.4814,3.4781,0.3131,0.4508,0.2078,16.4303,1.1994,10.7335,2.5704,0.0249,6.1932,High
SMP_09825,4.0118,1.8225,3.1066,0.9225,0.3787,0.2356,11.8088,0.7367,7.2753,0.7708,0.0467,5.1130,Low
SMP_05146,7.3335,1.1526,3.0061,0.6425,0.1298,0.4011,14.5451,0.9467,13.6952,1.1508,0.0366,7.4919,High
SMP_08938,4.0131,1.5927,2.1951,0.7487,0.2881,0.3065,17.1034,0.8850,14.8616,2.2450,0.0807,5.7677,Medium
SMP_09616,5.8653,1.3705,3.3950,0.9477,0.3219,0.4758,17.8865,0.7544,13.9601,1.3969,0.0947,6.0478,High
SMP_08701,7.0360,1.1459,1.0740,0.9384,0.1912,0.4167,13.1974,0.5028,7.1560,0.7637,0.0823,5.0124,Low
SMP_03801,6.9934,1.1054,1.9076,0.3376,0.2923,0.1246,17.6247,0.5746,7.7141,2.4569,0.0052,6.4807,High
SMP_10382,5.5013,1.1449,3.2183,0.8438,0.2912,0.1156,12.2500,0.6340,10.3690,0.8945,0.0433,5.0842,Low
SMP_03746,7.4260,1.8789,2.4046,0.3931,0.2884,0.2438,12.7736,0.8862,11.5794,1.9765,0.0955,5.3960,Low
SMP_09074,7.0182,1.0094,2.5072,0.9839,0.2313,0.3157,11.4027,0.9946,9.1786,2.4226,0.0126,4.7268,Low
SMP_11362,6.6028,1.4106,3.1339,0.1551,0.2894,0.3972,17.0417,0.5120,7.2608,2.6510,0.0260,5.9373,Medium
