FabricType,StitchCount,ThreadTension,SeamStrength,ColorConsistency,MeasurementAccuracy,ButtonAttachmentStrength,LabelPositionAccuracy,PrintAlignment,BrokenStitches,OilStains,LooseThreads,IroningQuality,PackingQuality,Shift,GarmentType,Humidity,Temperature,ProductionTimePerPiece(min),DefectCountInBatch,IsDefective
Polyester,50.92524523,4.46564006,37.24128751,1,99.33839078,29.16,0,Misaligned,12.78681581,0,7,0,Damaged,Night,Shirt,55.90281325,25.8144335,6.72,3,1
Cotton,49.53938009,3.580391238,25.15412133,1,99.11785438,20.71,0,Aligned,9.492715161,0,2,0,Damaged,Night,Shirt,49.38267116,22.64181369,4.21,4,1
Cotton,41.78126607,3.845393812,34.98357308,1,99.11785438,32.93,0,Slightly Off,9.968862031,0,9,1,Damaged,Morning,Jeans,58.2445939,26.41201405,5.29,4,1
Linen,50.02032005,4.165631716,30.85645091,1,99.55892719,28.93,1,Aligned,11.25099018,1,5,0,Damaged,Morning,Shirt,51.7855827,25.67754362,3.96,2,0
Cotton,61.52990943,4.487772564,44.81070903,1,99.77946359,38.59,0,Misaligned,7.420907777,1,9,0,Wet,Morning,Jeans,56.61992268,30.78327604,4.11,1,0
Polyester,41.71795501,3.760412881,34.48543101,0,100,21.12,1,Aligned,16.17193964,0,1,0,Wet,Night,Shirt,80,21.34560356,3.82,0,0
Linen,52.15597356,3.907170512,28.86752638,1,99.77946359,36.6,0,Aligned,9.789357564,1,8,0,Damaged,Morning,Shirt,58.17130764,24.02508966,5.69,1,1
Linen,51.23525197,3.446832513,27.63470152,1,98.89731797,38.33,1,Misaligned,15.46532377,0,1,1,Wet,Night,Jeans,58.59131598,29.28298615,5.63,5,0
Denim,41.6779806,3.401896688,29.47610635,0,98.89731797,21.1,0,Misaligned,10.5696967,1,5,0,Damaged,Night,Trousers,63.21219335,22.29132418,6.86,5,0
Cotton,50.24007,4.406262911,37.60108471,1,99.55892719,24.63,0,Slightly Off,13.3000658,1,8,1,Wet,Morning,Blazer,56.80644531,28.72136466,5.09,2,1
Linen,52.27374616,4.678120014,38.75196889,1,99.55892719,30.92,1,Misaligned,5.817213948,0,1,0,Good,Evening,Trousers,44.01967324,25.00394423,3.43,2,1
Cotton,54.09095279,3.963994939,35.46843662,1,100,30.61,0,Slightly Off,16.29785632,0,0,0,Wet,Evening,Trousers,38.53288271,30.07879091,4.59,0,0
Polyester,60.40466838,4.501766449,35.64522475,1,99.77946359,22.75,0,Slightly Off,14.40186612,0,0,1,Wet,Evening,Blazer,54.70708937,26.85311454,5.83,1,1
Polyester,57.41636176,4.180818013,32.34639109,1,99.55892719,32.64,1,Misaligned,9.980613451,0,8,1,Wet,Morning,Jeans,52.30888972,26.52099955,3.51,2,1
Cotton,43.96508972,3.677440123,28.37892902,1,99.55892719,29.27,0,Aligned,10.16819786,1,0,1,Wet,Morning,Shirt,35.36397917,28.79641343,5.04,2,0
Polyester,55.35740834,4.180697803,36.02070212,0,99.55892719,24.14,0,Aligned,13.01201193,0,6,1,Damaged,Evening,Jeans,71.29392752,27.05717329,3.58,2,0
Cotton,56.98402244,4.769018283,39.24768939,1,100,20.08,1,Misaligned,5.883644768,1,0,0,Wet,Morning,Trousers,56.07003043,23.29164234,4.66,0,1
Denim,43.36976816,3.98208698,32.73054684,0,99.77946359,37.28,0,Slightly Off,12.1400823,0,5,0,Wet,Night,Trousers,69.39436355,25.43747674,5.6,1,1
Cotton,63.00874586,4.782321828,40.64427737,1,99.55892719,27.76,1,Aligned,8.012591039,1,3,0,Damaged,Night,Jeans,32.68137716,22.11855119,6.96,2,0
Linen,40.45088077,2.690127448,15.36786236,0,100,22.72,0,Slightly Off,13.85681476,0,6,0,Wet,Evening,Trousers,69.58487056,24.40699086,5.9,0,1
Cotton,47.82840516,4.410951252,36.21781649,1,99.33839078,21.76,0,Misaligned,9.246551182,0,7,0,Damaged,Evening,Shirt,50.1479492,20.58357485,4.26,3,1
Cotton,43.32512759,4.043523534,33.00389494,0,99.33839078,36.13,0,Aligned,9.517847033,1,8,0,Damaged,Morning,Shirt,67.59157882,34.01464681,3.01,3,0
Linen,46.40586557,3.850496325,35.81039484,1,99.11785438,27.96,1,Slightly Off,17.41338982,1,9,1,Damaged,Morning,Blazer,57.14868474,26.9210394,3.31,4,0
Linen,53.33120769,4.045880388,27.78127916,1,99.11785438,28.28,0,Aligned,14.24986967,1,9,1,Good,Morning,Blazer,59.53256552,28.5991785,6.49,4,1
Denim,30.40549054,3.006215543,28.72128424,1,100,38.66,1,Slightly Off,9.547979968,0,7,0,Wet,Evening,Trousers,59.5451704,24.49427063,6.76,0,1
Denim,47.81704736,3.890164056,31.34753984,1,99.11785438,26.91,1,Slightly Off,9.592231674,0,4,1,Good,Night,Blazer,50.74862302,28.57695244,5.57,4,0
Linen,47.19054066,4.178556286,34.89541888,1,99.33839078,22.02,0,Slightly Off,14.21523452,0,4,1,Wet,Night,Trousers,48.53485263,29.32136949,4.14,3,1
Denim,60.37150977,4.738947022,42.93933254,1,99.77946359,28.83,0,Slightly Off,13.42816649,0,5,1,Damaged,Night,Blazer,51.38839811,29.80869942,4.74,1,1
Cotton,40.90094458,3.740864891,31.60920293,1,99.55892719,25.07,1,Misaligned,8.363022131,0,0,1,Damaged,Evening,Jeans,40.28090792,26.75212288,3.01,2,1
Linen,47.00805338,3.595753199,29.96713046,1,99.33839078,21.17,1,Slightly Off,14.90430815,1,4,0,Wet,Evening,Jeans,50.19289696,30.04630319,3.13,3,0
Polyester,44.19838368,3.749121478,30.71984538,1,99.77946359,25.04,1,Aligned,13.29684439,1,5,0,Wet,Night,Trousers,48.03208546,25.177041,5.25,1,1
Linen,48.80671009,4.457701059,34.21117407,1,100,28.72,0,Aligned,5.259587987,0,4,1,Good,Evening,Shirt,40.04094647,28.12245061,3.12,0,0
Linen,50.29095644,4.164375555,33.22953707,1,99.55892719,22.35,0,Misaligned,10.46165574,1,2,1,Wet,Evening,Blazer,59.58666276,27.14481222,3.69,2,1
Denim,35.1315722,3.735119898,27.73442089,1,99.11785438,39.3,0,Misaligned,12.12127025,1,4,0,Wet,Evening,Shirt,55.07717432,23.47454563,6.67,4,1
Cotton,48.28413174,4.256633717,33.91936903,1,99.77946359,25.65,0,Aligned,11.63220798,0,5,0,Wet,Evening,Blazer,57.46042323,21.51054967,3.86,1,1
Linen,50.26947065,4.048538775,25.38051811,0,99.11785438,32.01,1,Misaligned,7.941174089,1,8,1,Damaged,Evening,Blazer,61.97450791,26.10305357,3.66,4,1
Polyester,44.95309605,4.484322495,37.16169866,1,100,32.04,1,Misaligned,8.742308497,0,8,1,Damaged,Morning,Trousers,52.62139943,26.11403315,5.01,0,0
Linen,30.93199717,3.648973453,28.82657586,1,99.55892719,31.17,0,Slightly Off,10.83322188,0,2,1,Wet,Night,Jeans,45.61283587,26.19109628,6.12,2,1
Denim,34.33719052,3.836168927,29.6807402,1,99.33839078,20.72,0,Misaligned,10.720635,1,6,0,Good,Morning,Shirt,58.03942023,30.14995414,3.11,3,0
Linen,52.28299386,3.803945923,31.09084164,1,99.77946359,25.09,1,Misaligned,10.83511581,0,5,0,Wet,Morning,Jeans,30,31.12857835,5.1,1,0
Cotton,38.83511525,3.268242526,21.84524844,1,99.33839078,40,1,Aligned,13.06561622,0,9,1,Damaged,Night,Jeans,53.91904909,28.97164307,5.55,3,0
Denim,47.11439469,4.148060139,38.9722911,0,99.11785438,31.84,0,Slightly Off,12.63278957,1,6,1,Wet,Evening,Blazer,62.65168623,28.76173409,4.88,4,1
Linen,54.29210531,4.130527636,32.7359187,0,99.33839078,37.11,0,Slightly Off,17.0616219,1,0,1,Good,Evening,Shirt,65.46925262,26.76024056,5.27,3,0
Denim,46.00843233,4.002556728,31.58292053,1,99.77946359,33.21,0,Aligned,14.6075528,1,8,1,Wet,Morning,Shirt,49.70556777,27.52975036,3.8,1,1
Linen,47.9347867,3.882706433,28.16546284,1,100,23.27,0,Misaligned,16.1851773,0,5,1,Damaged,Night,Blazer,32.58612768,28.28872335,3.78,0,0
Polyester,39.6365523,3.292314629,26.41035618,1,99.11785438,25.77,0,Misaligned,11.97310369,1,9,1,Good,Evening,Blazer,30,27.42018145,3.05,4,1
Denim,43.12113096,3.789677339,34.47829838,0,99.77946359,33.37,0,Misaligned,9.408875872,0,8,1,Wet,Night,Shirt,61.38052107,28.77764691,3.76,1,0
Polyester,47.41444232,3.828642742,33.73689056,1,99.77946359,33.86,1,Misaligned,14.74699034,1,3,1,Wet,Evening,Blazer,51.46016937,27.13739395,3.2,1,0
Polyester,47.05264249,3.598861365,31.35420418,0,99.77946359,37.3,0,Aligned,12.75364445,0,3,0,Damaged,Night,Shirt,75.17299075,25.51432638,5.83,1,0
Linen,46.10775264,3.919357144,32.99405401,1,99.33839078,35.71,1,Misaligned,14.35223911,0,10,1,Wet,Morning,Blazer,40.88896365,27.78442523,4.96,3,1
Polyester,48.12152728,4.202025428,32.54057584,1,99.11785438,24.47,0,Slightly Off,8.949048469,1,2,1,Wet,Night,Blazer,58.42335903,26.29198965,3.58,4,1
Linen,57.60455337,4.943092951,35.1942541,0,100,36.96,1,Aligned,12.0595454,0,6,0,Damaged,Evening,Trousers,71.62351635,31.35693661,3.07,0,1
Cotton,37.55790421,4.087288906,32.09519494,1,99.77946359,29.88,1,Slightly Off,11.29967373,0,5,0,Wet,Evening,Shirt,57.0646193,25.71783113,4.15,1,1
Denim,50.96060008,4.128775195,32.32258717,1,99.77946359,28.82,1,Misaligned,10.35974666,1,7,0,Damaged,Morning,Jeans,39.08064808,35,6.29,1,0
Linen,41.50776806,3.962777042,34.84859966,0,99.11785438,26.57,1,Aligned,10.97417862,1,4,0,Damaged,Morning,Blazer,80,31.91903142,6.04,4,0
Polyester,39.63596633,3.040614392,25.25308647,0,99.11785438,30.06,1,Slightly Off,15.39007147,1,3,0,Damaged,Night,Blazer,70.80587457,23.60218601,6.91,4,0
Polyester,47.38879624,3.986743062,36.73087908,1,99.11785438,32.35,1,Misaligned,14.34893782,1,6,0,Good,Evening,Jeans,52.72753984,30.75498247,6.18,4,0
Denim,48.88698674,4.030115105,35.83338646,0,99.55892719,38.9,1,Aligned,10.84052732,1,5,1,Wet,Morning,Jeans,63.18954078,26.62355165,5.7,2,0
Polyester,66.28109853,5.231621056,40.48348162,0,99.33839078,33.57,1,Aligned,10.56968737,1,9,1,Wet,Morning,Jeans,63.2966116,28.69663625,5.29,3,0
Denim,42.21321538,3.903819518,25.84516855,0,99.55892719,38.05,0,Slightly Off,13.21481015,0,7,0,Good,Morning,Trousers,61.41771085,31.73005078,5.01,2,1
Linen,51.65552627,4.150773671,37.36291507,1,99.11785438,30.48,0,Misaligned,13.91346324,0,7,0,Damaged,Morning,Jeans,41.18255225,24.67496146,5.61,4,1
Denim,49.12983464,3.982644115,35.93930859,1,99.11785438,39.28,1,Misaligned,14.99545735,1,9,0,Wet,Night,Shirt,58.24157621,25.60982019,6.07,4,0
Linen,40.06402761,3.415660981,23.22665308,0,99.33839078,29.08,1,Aligned,18.6023422,0,3,1,Good,Morning,Jeans,69.60715702,29.26027379,3.59,3,1
Linen,50.21600588,4.571411407,41.09901132,0,99.33839078,37.64,1,Misaligned,9.461666026,1,7,0,Damaged,Night,Jeans,60.04527216,25.89969137,6.86,3,0
Linen,55.48779002,4.375966516,36.15408364,1,100,34.17,0,Slightly Off,15.62809667,1,1,0,Good,Evening,Shirt,58.97151002,20.32545688,6.97,0,1
Denim,56.2634644,4.395515974,35.64618428,1,100,21.99,0,Slightly Off,11.56019118,0,7,1,Wet,Night,Jeans,49.63175631,29.8910952,5.12,0,0
Polyester,43.1116854,3.545306273,33.20679994,1,99.77946359,36.82,0,Misaligned,9.624983839,0,5,1,Damaged,Evening,Shirt,45.96021329,28.10821904,3.6,1,0
Linen,51.06525379,4.701397155,41.64523276,1,99.55892719,31.2,0,Aligned,8.645752231,1,9,1,Good,Evening,Trousers,39.27482614,26.92999651,4.24,2,0
Linen,36.95164846,3.299074469,28.3465886,0,99.33839078,30.12,0,Aligned,14.79973142,1,5,1,Good,Evening,Blazer,62.57464598,27.37541674,4.69,3,0
Polyester,51.21947895,4.293428547,35.76707957,1,99.11785438,29.97,0,Aligned,13.58442504,0,4,0,Damaged,Night,Jeans,52.79115666,33.71493843,5.18,4,1
Polyester,64.5852065,5.095227813,42.61100537,1,99.77946359,34.28,0,Aligned,6.760740804,1,4,0,Good,Morning,Shirt,41.58620388,30.0379905,3.12,1,0
Cotton,34.13933504,3.504731837,26.8376824,0,99.77946359,39.7,1,Aligned,10.69888356,0,4,0,Wet,Morning,Trousers,64.76408667,24.41710591,3.43,1,1
Linen,41.7831963,3.716851135,29.56950473,1,99.11785438,30.26,1,Slightly Off,10.96694776,0,1,1,Good,Night,Jeans,49.1308892,27.36920578,5.67,4,1
Polyester,46.58454539,4.049825683,29.691654,1,99.33839078,22.66,1,Misaligned,9.310244569,1,9,0,Good,Morning,Jeans,46.421351,30.55789892,3.01,3,1
Cotton,44.56303818,3.748262173,28.98697806,1,99.11785438,33.61,1,Aligned,6.863220683,1,6,0,Damaged,Night,Blazer,50.03751986,30.49466464,5.91,4,1
Cotton,32.18939299,3.224668284,24.69744464,1,100,39.39,1,Slightly Off,6.892722292,0,4,0,Wet,Morning,Blazer,53.0691074,22.49264939,5.41,0,0
Polyester,47.32371396,4.034281487,30.36833579,1,99.77946359,34.82,0,Aligned,10.78601568,1,1,0,Damaged,Night,Jeans,59.58022071,25.49615854,4.06,1,1
Denim,40.0737599,3.468848143,28.16102465,1,99.11785438,20.68,0,Misaligned,13.81854158,1,5,0,Good,Evening,Jeans,46.24686409,23.59816037,3.22,4,0
Polyester,45.65359523,4.236796215,32.92242717,0,99.77946359,36.45,1,Slightly Off,13.49316439,0,2,1,Wet,Night,Blazer,65.10373875,28.91899452,3.99,1,0
Linen,41.89361667,3.540287883,29.82900722,1,99.55892719,26.94,0,Slightly Off,8.832422012,0,7,0,Wet,Evening,Jeans,59.84229588,24.27867414,5.71,2,1
Linen,54.59376095,4.774967203,33.33277578,1,99.11785438,29.49,0,Misaligned,6.414048243,0,7,0,Damaged,Morning,Jeans,49.85337254,31.66401933,5.57,4,0
Linen,45.77841096,3.608373354,28.52692245,1,99.33839078,36.18,1,Misaligned,11.19946748,1,6,0,Good,Night,Jeans,53.40210189,30.88592806,4.77,3,1
Linen,41.6409931,3.838969242,31.10640886,1,99.55892719,38,0,Misaligned,12.33208887,1,9,1,Good,Evening,Shirt,50.77369056,26.25957156,5.06,2,0
Cotton,53.33027391,4.406758609,34.32218115,1,99.55892719,39.35,0,Misaligned,14.21282758,0,3,0,Damaged,Morning,Jeans,55.65864729,23.20556649,3.1,2,1
Cotton,36.57286992,3.384567842,26.55936463,0,99.11785438,35.9,0,Aligned,15.38403052,1,2,0,Damaged,Evening,Blazer,70.19873966,24.63303927,5.68,4,1
Denim,46.36598842,4.113729967,28.15410171,1,99.33839078,27.49,1,Slightly Off,10.66905555,1,3,1,Wet,Morning,Trousers,50.67063681,28.35321634,3.34,3,0
Cotton,57.32931466,4.653571377,38.29800233,1,99.55892719,38.16,0,Slightly Off,11.77332316,1,6,1,Damaged,Morning,Blazer,56.89465822,29.55656065,3.71,2,1
Polyester,39.52868926,3.196258383,27.51288501,1,99.33839078,39.01,0,Slightly Off,11.07686552,1,7,1,Wet,Night,Trousers,48.01417228,26.88463815,5.26,3,1
Denim,47.02269224,4.092316929,34.21914732,0,99.55892719,27.03,1,Slightly Off,12.03840341,0,5,0,Wet,Morning,Shirt,60.31955044,20,3.21,2,0
Denim,48.21224367,4.129941397,36.15571236,1,99.77946359,21.7,0,Misaligned,11.55284733,0,2,1,Good,Evening,Blazer,57.76406654,29.04013553,4.5,1,1
Linen,45.42290501,4.390911436,35.7318803,0,99.33839078,38.4,1,Aligned,15.431084,0,6,0,Wet,Night,Jeans,68.29617789,20.93875632,4.8,3,1
Denim,47.59211729,3.381524645,28.4882407,1,98.89731797,24.83,0,Slightly Off,14.71761596,1,2,0,Good,Night,Jeans,46.70809714,20.64265184,3.49,5,0
Denim,43.51454231,3.339771693,27.18644576,0,99.77946359,25.12,1,Slightly Off,11.00810148,1,1,1,Damaged,Morning,Trousers,61.90575321,29.99484842,3.96,1,1
Polyester,54.38888965,4.260970783,36.15041842,0,99.55892719,35.6,1,Misaligned,9.196393957,1,2,0,Good,Evening,Blazer,67.64083552,23.4420801,3.19,2,1
Linen,41.80674695,4.148492337,28.45624978,1,99.55892719,32.91,0,Misaligned,10.70374073,1,5,1,Good,Morning,Trousers,50.62382264,27.75182727,5.48,2,1
Denim,46.52550714,4.125246425,30.3212285,1,99.55892719,32.14,0,Slightly Off,7.056109136,1,2,1,Damaged,Evening,Trousers,53.73046401,27.27583227,6.68,2,1
Linen,48.40595911,4.173224105,38.14649181,1,100,21.44,0,Slightly Off,10.96349066,1,8,0,Damaged,Night,Trousers,56.90738133,24.58404041,6.72,0,1
Polyester,34.26454421,3.659987639,21.89859365,1,98.89731797,32.5,0,Misaligned,12.24904709,0,6,1,Wet,Morning,Trousers,52.63421333,27.61837985,6.53,5,0
Denim,53.84327266,4.116126849,32.508481,1,98.89731797,26.93,1,Aligned,13.16732694,1,0,0,Good,Morning,Shirt,56.77319196,25.34899424,3.51,5,0
Cotton,57.02785728,4.146536237,36.68911477,0,99.77946359,37.24,1,Misaligned,13.54330358,1,8,1,Good,Evening,Blazer,61.73436229,27.14269182,3.7,1,0
Polyester,54.02356627,3.642824291,28.86281233,1,99.55892719,27.79,0,Aligned,13.01110065,0,4,0,Wet,Morning,Shirt,53.86023935,25.84140449,3.56,2,0
Polyester,53.96522793,4.932887256,38.24806483,1,99.11785438,32.44,0,Misaligned,5.244247429,0,3,0,Good,Night,Trousers,53.78201203,25.49563221,4.23,4,1
